Codigo Convocatoria,Nombre del Oferente,Area del Conocimiento,Nombre del programa,Nombre del País,Fecha de Recepción -mm/dd/aaaa,Perfil del Aplicante,Objetivo del Programa
2250112.0,GOBIERNO DE LA INDIA,DERECHO Y CIENCIAS POLITICAS,ADVANCED FINGERPRINT SCIENCE & COMPUTERS,India (República de India),,"El programa ""Ciencia avanzada de las huellas digitales y computación"" está dirigido a profesionales en carreras afines al curso que estén encargados de la lectura de huellas digitales. REQUISITOS: El participante debe ser menor de 50 años de edad  tener un promedio de notas universitarias de 3-8/5-0  contar con ocho años de experiencia en el área del curso- después de haber obtenido el título universitario- gozar de buena salud física y mental. El candidato deberá tener buenos conocimientos de idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)- y no haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente. Los Preseleccionados deberán presentar entrevista en ICETEX y luego en la Embajada de la India- si la Embajada lo considera pertinente.",Ofrecer a los participantes entrenamiento y actualización en el campo del curso.
6112416.0,EUROPEAN OPEN BUSINESS SCHOOL (EOBS),ADMINISTRACIÓN,MAESTRÍAS EN DIFERENTES ÁREAS,España (Reino de España),,El programa está dirigido a profesionales universitarios en carreras afines a los programas ofrecidos- que cuenten con ADMISIÓN DEFINITIVA por parte de EUROPEAN OPEN BUSINESS SCHOOL- que se desempeñen en entidades públicas o privadas.  REQUISITOS: El candidato debe ser mayor de 23 años y menor de 65 años- tener un promedio mínimo de notas universitarias de 3-7/5-0 y contar con mínimo 1 año de experiencia profesional en temas inherentes al programa a realizar.,Formar y desarrollar al estudiante como un directivo capaz de liderar organizaciones en un entorno cambiante y altamente competitivo.
2218214.0,OEA - GOBIERNO DE ESTADOS UNIDOS,DERECHO Y CIENCIAS POLITICAS,PROMOCIÓN DE LA INNOVACIÓN: ACADEMIA DE LICENCIAS EN PROPIEDAD INTELECTUAL Y TRANSFERENCIA DE TECNOLOGÍA,Estados Unidos (Estados Unidos de América),,El programa está dirigido a profesionales universitarios en derecho- relaciones internacionales- ingenierías- ciencias de la vida - economía o agricultura- con responsabilidad en propiedad intelectual en entidades públicas ó privadas.   REQUISITOS: El aspirante debe ser menor de 55 años- tener promedio de notas de 3-7/5-0- contar con dos años de experiencia mínima en el campo del curso- poseer buenos conocimientos del idioma inglés: con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 80 puntos- Prueba por computador: 213 puntos- Prueba escrita: 550 puntos- IELTS: 6.0- English Test (MET): B2: 53 a 63 puntos) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura. Las personas que hayan cursado estudios de bachillerato- pregrado o postgrado en países de habla inglesa podrán adjuntar copia de su diploma.  Deben gozar de buena salud física y mental.,Proporcionar a los participantes los fundamentos sobre cómo proteger y gestionar la propiedad intelectual para apoyar la comercialización de tecnología en el sector público o entre las pequeñas y medianas empresas.
2114814.0,OEA - GOBIERNO DE COSTA RICA,BELLAS ARTES,3ER CINERGIA LAB: TALLER DE CONSTRUCCIÓN Y ANÁLISIS DE PROYECTOS CINEMATOGRÁFICOS,Costa Rica (República de Costa Rica),,El programa está dirigido a profesionales universitarios  en carreras afines al area del curso que se desempeñen directamente en el tema de la cinematografía. REQUISITOS: El aspirante debe tener un promedio de notas universitarias de minimo 3.7/5.0- experiencia profesional mínima de dos años relevante directamente relacionada con el area de estudio. NOTA: los directores candidatos no podrán haber dirigido más de dos largometrajes. Contar con acceso a internet y una cuenta de correo electrónico. El computador debe permitir utilizar las últimas versiones de navegadores. Acceso a Internet: Se debe poder tener acceso a la red desde su lugar de trabajo o desde su casa. La velocidad de módem mínima aceptable es de 28.8 kbps. Navegador: El navegador que Usted utilice es muy importante. La plataforma e-learning requiere un navegador que permita utilizar Java- Javascript. Estas opciones deben estar habilitadas en su navegador.Todos los candidatos deberán completar el formulario de aplicación específico de FUNDACINE y para obtener la beca de la OEA deberán ser seleccionados previamente por FUNDACINE  La convocatoria oficial de FUNDACINE será publicada de marzo a mayo de 2014 en el sitio web de Cinergia (www.cinergia.org) y en el Portal Centroamericano de Cine- Video y Animación (www.cineyvideocentroamericano.org).,Fortalecer el contenido cultural de programas educativos- especialmente dirigidos a jóvenes.Fortalecer las habilidades profesionales de directores y productores jóvenes (no podrán haber dirigido más de 2 largometrajes) en Centroamérica- una región con pocas oportunidades formativas en el área cinematográfica.Estimular la diversidad cultural centroamericana.
3900615.0,UNESCO - GOBIERNO DE JAPON,INVESTIGACION DIFERENTES AREAS,BECAS DE INVESTIGACIÓN EN DIFERENTES ÁREAS - KEIZO OBUCHI,Diferentes Países,01/13/2015 12:00:00 AM,El programa está dirigido a profesionales investigadores de posgrado con alto potencial intelectual- con título de maestría- que deseen continuar su labor de investigación en el extranjero (de preferencia en un país de la región) en uno de los campos específicos señalados en esta convocatoria.   REQUISITOS: El aspirante debe contar con la aceptación de un tutor del establecimiento anfitrión elegido- poseer buenos conocimientos del idioma del país escogido- no tener más de 40 años (los candidatos nacidos antes del 1 de enero de 1975 NO se tomarán en cuenta)- tener un promedio de notas universitarias y de maestría de 3-7/5-0  tener experiencia profesional mínima de un año- estar realizando un trabajo de investigación en uno de los subtemas señalados dentro de las siguientes áreas: Medio Ambiente (con atención particular en Ciencias del Agua)- Diálogo Intercultural- Tecnologías de la Información y de la Comunicación y Solución Pacífica de Conflictos- las cuales podrán verificar en el formulario de información de la UNESCO. Podrán aplicar quienes estén realizando su segundo año de maestría y se hayan graduado antes de iniciar la beca. Los candidatos deben gozar de buena salud física y mental.,El programa de Becas UNESCO/Japón para jóvenes investigadores financiado en el marco de proyecto del Fondo Fiduciario del Japón favorecerá de manera especial el fortalecimiento de capacidades y actividades de investigación innovadoras e imaginativas en los ámbitos que la UNESCO considera particularmente importantes- a saber:1. Medio ambiente (con atención particular en Ciencias del agua).2. Diálogo intercultural.3. Tecnologías de la información y la comunicación.4. Solución pacífica de los conflictos.
2125016.0,GOBIERNO DE ISRAEL,CIENCIAS NATURALES O AGROPECUARIAS,DESARROLLO E INNOVACIÓN DEL SECTOR HORTÍCOLA,Israel (Estado de Israel),,El programa está dirigido a profesionales universitarios en ciencias agropecuarias e ingenierías- que se desempeñen en cargos directivos y/o técnicos en instituciones y organizaciones del sector público o privado- involucrados en el desarrollo del sector hortícola- a nivel nacional o regional- con experiencia mínima de 2 años Los aspirantes deben tener entre 23 y 60 años- un promedio de notas universitarias de 3-7/5-0 y gozar de buena salud física y mental.,El programa tiene como objetivo compartir los enfoques y criterios que guían al sector hortícola en Israel- como también crear un marco de discusión con el fin de incentivar a los participantes a identificar líneas de acción para la revitalización del sector hortícola en sus respectivos países.
6113516.0,UNIVERSIDAD ALCALÁ DE HENARES,DIFERENTES AREAS,MAESTRÍAS EN DIFERENTES ÁREAS,España (Reino de España),05/17/2016 12:00:00 AM,El programa está dirigido a profesionales con formación en los diferentes programas mencionados en esta convocatoria que se desempeñen en entidades públicas o privadas en temas directamente relacionados con el programa escogido y que cuenten con la solicitud de admisión al programa a realizar. REQUISITOS: El candidato debe ser mayor de 23 años y menor de 60 años- contar con un promedio mínimo de notas de pregrado de 3-7/5-0- tener mínimo 1 año de experiencia profesional en el área del programa a realizar y gozar de buena salud física y mental.,Ofrecer a profesionales universitarios la oportunidad de adelantar estudios de posgrado en diferentes áreas en la Universidad Alcalá de Henares.
6506911.0,GOBIERNO DE LA FEDERACIÓN DE RUSIA,POSGRADO DIFERENTES AREAS,ESTUDIOS DE POSGRADO EN DIFERENTES AREAS,Rusia (Federación Rusa),05/23/2011 12:00:00 AM,El programa está dirigido a profesionales con título de Maestría- en cualquiera de las áreas relacionadas con los programas de esta convocatoria.   REQUISITOS: El aspirante debe contar con experiencia laboral mínima de un año (después de haber obtenido el título universitario) en su especialidad- tener promedio de notas universitarias 4.0/5.0. No ser mayor de 35 años de edad y gozar de buena salud física y mental.  NOTA: Aunque no es requisito indispensable conocer el idioma ruso tendrán prelación aquellos que hayan realizado estudios de pregrado en la Federación Rusa- debido al dominio del idioma. Por otra parte- es recomendable que tengan buenos conocimientos de inglés y contar con admisión al centro docente.,Ofrecer la oportunidad a profesionales colombianos de realizar sus estudios de doctorado ó postdoctorado en una universidad de la Federación de Rusia.
6005112.0,FLACSO - ECUADOR,CIENCIAS SOCIALES,DOCTORADO EN CIENCIAS SOCIALES CON ESPECIALIZACIÓN EN ESTUDIOS POLÍTICOS,Ecuador (República del Ecuador),,El programa está dirigido a profesionales con maestría en ciencias sociales que deseen profundizar sus conocimientos en estudios políticos.   REQUISITOS: Los aspirantes deben tener un promedio académico universitario igual o superior a 4.0 sobre 5.0 en los estudios de pregrado y maestría  tener buenos conocimientos de idioma inglés- contar con capacidad para comprender textos en inglés- dado que parte de la bibliografía está disponible en este idioma  para lo cual deben adjuntar los certificados que lo acrediten. Experiencia profesional de los últimos cinco años- la cual deberán especificar en la sección 4 del formulario. Cumplir con los requisitos exigidos por FLACSO y gozar de buena salud física mental.,Objetivo general: El Doctorado en Ciencias Sociales con especialización en Estudios Políticos está orientado a formar científicos con alto nivel académico- capaces de hacer contribuciones originales- disciplinarias y transdisciplinarias- a la reflexión sobre los procesos políticos de América Latina- así como a fortalecer la docencia e investigación de postgrado y coadyuvar- de manera innovadora- a la solución de los problemas sociales de la región. Objetivos específicos: ¿Formar profesionales capaces de utilizar de manera creativa los instrumentos teóricos y metodológicos necesarios para pensar los procesos políticos de América Latina.¿Construir un escenario en donde los/as profesores/as investigadores/as de la Región puedan obtener el máximo título que los habilita para ejercer la docencia de postgrado.¿Formar profesionales con capacidad de liderazgo en condiciones de aplicar sus conocimientos en los procesos públicos de toma de decisiones.¿Integrar nuevas redes de investigación y reflexión nacionales e internacionales que permitan dar un marco adecuado de relaciones a los participantes en el doctorado.
6213216.0,REPÚBLICA DE COREA - KOICA,ADMINISTRACIÓN - ECONOMÍA,MASTER'S DEGREE PROGRAM IN COMMUNITY DEVELOPMENT LEADERSHIP (PSPS),Corea del Sur (República de Corea),02/17/2016 12:00:00 AM,El programa está dirigido a profesionales que se desempeñen en áreas directamente relacionadas con el desarrollo de políticas socio > económicas y el mejoramiento de la calidad de vida- en entidades del sector público y deseen adelantar estudios de maestría en esta área. LOS EMPLEADOS DEL SECTOR PRIVADO NO SERÁN TENIDOS EN CUENTA. REQUISITOS: El candidato debe ser mayor de 23 años y menor de 40 años- tener un promedio mínimo de notas universitarias de 3-7/5-0 contar con mínimo 1 año de experiencia profesional en temas inherentes al programa a realizar. El candidato debe tener buenos conocimientos de idioma inglés puntaje requerido: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos). NOTA: El proceso de selección de candidatos es en dos etapas. la primera es la revisión y estudio de los documentos- y la segunda será una entrevista telefónica únicamente a quienes hayan pasado por la primera selección exitosamente. La admisión definitiva será notificada después de haber pasado la segunda etapa del proceso de selección. > El estado de embarazo es considerado como una condición de descalificación para participar en este programa.,El programa busca:> Educar y entrenar expertos en políticas públicas y educadores públicos que trabajarán para el desarrollo socio>económico y el mejoramiento de la calidad de vida de países en desarrollo. > Enseñar y promocionar los principios y modalidades de Saemaul Undong entre los talentos globales que puedan contribuir al principio de 'prosperidad para todos' en la comunidad global. > Contribuir al desarrollo global y la erradicación de la pobreza extrema en el mundo- compartiendo las experiencias coreanas de Saemaul Undong con países pobres y en desarrollo.
2207312.0,GOBIERNO DE TAILANDIA,CIENCIAS AGROPECUARIAS,AGRICULTURA SOSTENIBLE Y SEGURIDAD ALIMENTARIA,Tailandia (Reino de Tailandia),,El programa está dirigido a profesionales en biología- agronomía- desarrollo rural- extensión agrícola- que laboren en entidades públicas ó privadas.  REQUISITOS: Los aspirantes deben ser menores de 45 años- tener un promedio de notas de 3-7/5-0- contar con experiencia laboral mínima de 5 años (posterior a la obtención del título universitario) en el área del programa poseer buenos conocimientos del idioma inglés- demostrado con: prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- Michigan: 70% English Test (MET): B2). Gozar de buena salud física y mental.,> Proporcionar los conocimientos sobre seguridad alimentaria en la producción agrícola. >Dar oportunidad a los participantes de obtener nuevos conocimientos y experiencias de los investigadores tailandeses- del personal del sector privado y agricultores. >Aprovechar la visita de los participantes y el estudio de varios sistemas agrícolas y el proceso lider de alimentos de la seguridad alimentaria. > Compartir experiencias de la seguridad alimentaria de cada país.
2226815.0,GOBIERNO DE LA INDIA,INGENIERIA Y AFINES,CERTIFICATE COURSE IN NETWORK SECURITY,India (República de India),,El Programa está dirigido a profesionales en Ingeniería electrónica- eléctrica- sistemas- telecomunicaciones- con conocimiento y experiencia en el área de redes (Networking).  REQUISITOS: El participante debe ser mayor de 25 años y menor de 45 años de edad  tener un promedio de notas universitarias de 3-7/5-0  contar con mínimo año de experiencia en el área del curso- gozar de buena salud física y mental. El candidato deberá tener buenos conocimientos de idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)- u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o posgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. El aspirante no debe haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente. Los Preseleccionados deberán presentar entrevista en la Embajada de la India- si la Embajada así lo requiere.  NOTA: Los documentos deben ser entregados en 3 copias por separado.,Ofrecer a los participantes entrenamiento en el curso de redes avanzadas.
6209515.0,ATLANTIS UNIVERSITY,MAESTRÍAS EN DIFERENTES ÁREAS,MASTER OF BUSINESS ADMINISTRATION (MBA) - MODALIDAD PRESENCIAL Y EN INGLÉS.,Estados Unidos (Estados Unidos de América),05/19/2015 12:00:00 AM,El programa está dirigido a profesionales ejecutivos egresados de administración- negocios- negocios internacionales- comercio exterior- mercadotecnia o ingeniería industrial- con visión y proyección global que deseen desarrollar su potencial- tener un impacto positivo en la sociedad y tengan además aptitudes y experiencia en el ejercicio del liderazgo.NOTA: La Universidad Atlantis cobrará USD$100 por el proceso de admisión. Este monto NO será reembolsable ni tampoco asegura el otorgamiento de la beca.REQUISITOS: El candidato debe ser mayor de 23 años y menor de 50 años- contar con mínimo 2 años de experiencia profesional- tener ADMISIÓN a la Universidad de Atlantis- tener un promedio de notas de 3-7/5-0 con buenos conocimientos de inglés puntaje mínimo: TOEFL (IBT): 65 puntos- prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2 (52 a 63 puntos) y gozar de buena salud física y mental.,El MBA de Atlantis University- es un programa intensivo a nivel de postgrado dirigido a ejecutivos y profesionales internacionales que desean estar actualizados con las más relevantes prácticas de negocios en un mundo caracterizado por la competitividad y la globalización. De la misma manera- el MBA de Atlantis University provee a los ejecutivos de América Latina una visión de negocios amplia y los prepara para asumir puestos de liderazgo en toda una serie de negocios y organizaciones profesionales.Así mismo- este programa viene a reforzar las habilidades de toma de decisiones de los ejecutivos internacionales a través de bases sólidas de negocios aunadas a fundamentos imprescindibles de análisis- tecnología- y liderazgo que les harán estar en una mejor posición competitiva para contribuir intelectual y profesionalmente en su entorno laboral. El MBA busca formar líderes innovadores con conocimientos- habilidades y destrezas necesarias para ser agentes de cambio global- capacitados para posesionarse en la alta dirección de empresas de negocios- industrias y gobierno- con competencias personales y profesionales en las áreas de gerencia- tecnología y liderazgo- respondiendo así a las demandas actuales de un mundo globalizado y competitivo.Bajo el convenio de becas con el ICETEX- el Master of Business Administration de Atlantis University- tiene como objetivo: 1) contribuir al desarrollo de la comunidad Colombiana con un compromiso inquebrantable hacia la cooperación y el entendimiento internacional- y 2) brindarle la oportunidad a líderes Colombianos de formarse como agentes de cambio internacional- emprendedores- culturalmente sensibles y socialmente responsables en sus áreas de desempeño en los sectores tanto público como privado en el extranjero.Aunado al aprendizaje académico- y lo que conlleva el emprendimiento del programa de estudios de maestría en esta casa de estudios norteamericana- bajo el convenio de becas con el ICETEX- Atlantis University busca ofrecer a selectos estudiantes Colombianos los siguientes beneficios: a) Desarrollo del liderazgo b) Una experiencia positiva de aprendizaje cultural c) Desarrollo de habilidades prácticas en un ambiente extranjero que complemente su preparación académica d) Aplicación de habilidades- aptitudes y valores a la práctica y la comunidad e) Preparación para futuras responsabilidades gerenciales y directivas f) Desarrollo de competencias en emprendimiento- liderazgo- sensibilidad cultural- ética y responsabilidad social g) Interacción con un ambiente social- cultural- académico y de aprendizaje- dinámico e internacional h) Interacción con problemáticas sociales a nivel internacional. No son objetivos de los Programas académicos de Atlantis University en convenio con ICETEX: a) Proveer una oportunidad para enriquecer el patrimonio personal del practicante. b) Vacaciones. c) Facilitar una oportunidad de ubicación laboral permanente en otro país. d) Facilitar una oportunidad de residencia permanente en otro país. Atlantis University no promueve la emigración del practicante de su país de origen.
2125516.0,OEA - GOBIERNO DE PANAMÁ,CIENCIAS NATURALES Y ECOLOGIA,DIPLOMADO EN ADAPTACIÓN AL CAMBIO CLIMÁTICO,Panamá (República de Panamá),04/18/2016 12:00:00 AM,El programa está dirigido a profesionales universitarios o técnicos titulados en ciencias o ingenierías-  que se desempeñen en el sector privado o público- en áreas directamente relacionadas al diseño- administración y operación de proyectos ambientales y Mecanismos de Desarrollo Limpio(MDL)- la gestión del manejo de recursos que dispongan de los lineamientos para la elaboración de estrategias de adaptación al cambio climático. REQUISITOS: El aspirante debe ser mayor de 23 años y menor de 60 años- tener un promedio de notas de pregrado de 3-7/5-0- contar con mínimo con 1 año de experiencia profesional en el campo de estudio.,Proporcionar a los participantes los conceptos- elementos y herramientas para identificar- desarrollar e implementar estrategias y/o medidas de adaptación ante el cambio climático.
2001212.0,OEA - GOBIERNO DE ESPAÑA,INGENIERIA Y AFINES,CURSO DE ANÁLISIS DE REDES DE AGUA CON EPANET,España (Reino de España),,El programa está dirigido a profesionales universitarios en áreas relacionadas con la ingeniería hidráulica principalmente-  que se desempeñen en entidades públicas ó privadas.   REQUISITOS: Los participantes deben tener un promedio de notas universitarias de 3-5/5-0- experiencia profesional de un año (después de haber obtenido el título universitario) y tener conocimientos básicos de procesador de texto (word)- excel y manejo de internet.,El curso está formado por un Módulo Básico de EPANET y varios Módulos de Especialización. El alumno desarrollará el curso Básico y podrá elegir los Módulos de Especialización en los que está interesado.
4200112.0,GOBIERNO DE JAPÓN - MINISTERIO EDUCACIÓN JAPONÉS,DIFERENTES AREAS,ESTUDIOS DE PREGRADO EN DIFERENTES AREAS,Japón (Japón),06/28/2011 12:00:00 AM,El programa está dirigido a bachilleres entre 17 y 21 años de edad (que hayan nacido entre el 2 de abril de 1990 y el 1o. de abril de 1995)- que cuenten con excelentes notas en los últimos tres años de bachillerato (requisito indispensable).   REQUISITOS: Tener conocimiento del idioma inglés (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 213 puntos- IELTS: 6.0- MET: B2) ó japonés (opcional)- haber obtenido excelentes resultados en el examen de ICFES (55 puntos- como mínimo- en las áreas pertinentes de acuerdo con la carrera escogida- especialmente en matemáticas) y en el bachillerato (Bueno -Sobresaliente-Excelente) (4- 4.5 y 5) (8- 9 y 10)- de acuerdo con los parámetros establecidos en cada Institución- tener disposición para aprender el idioma japonés y gozar de muy buena salud física y mental.   NOTA: No son elegibles aquellos que tengan simultáneamente la nacionalidad japonesa. Mayor información: www.colombia.emb-japan.go.jp,Ofrecer a bachilleres colombianos con excelente desempeño académico- la oportunidad de realizar una carrera profesional en universidades japonesas.
6100411.0,FUNDESEM BUSINESS SCHOOL - FBS,ADMINISTRACIÓN,INTERNATIONAL MBA EXECUTIVE (IME) - PRESENCIAL Y VIRTUAL,España (Reino de España),02/28/2011 12:00:00 AM,El programa está dirigido a profesionales universitarios en carreras directamente afines al programa de máster ofrecido- que cuenten preferiblemente con experiencia laboral en el área de estudios y con un promedio mínimo de 3-4 en el pregrado.  EL INTERNATIONAL MBA EXECUTIVE (IME) se dirige a profesionales de cualquier área funcional de empresas latinoamericanas y a emprendedores con vocación de consolidar su propia empresa y ampliar su formación en un ambiente Internacional.,El IME de Fundesem tiene como principal objetivo proporcionarle a los estudiantes conocimientos- herramientas y habilidades imprescindibles para la gerencia de una organización. Los principales focos del máster son la toma de decisiones estratégicas en entornos internacionales- la comprensión del entorno y el manejo del capital humano. Usted estará rodeado de profesionales con experiencia provenientes de distintas áreas funcionales de la empresa y de emprendedores con vocación de consolidar sus empresas.
2002816.0,GOBIERNO DE LA REPUBLICA CHECA,HUMANIDADES,CURSO DE VERANO DE IDIOMA CHECO Y ESTUDIOS ESLAVOS,Checa Rep. (República Checa),,El programa está dirigido a estudiantes universitarios y profesores en el área de ciencias de la educación y humanidades- que deseen adelantar estudios eslavos y de historia eslava de Europa Central. REQUISITOS: El candidato debe ser mayor de 20 años y menor de 50 años- tener un promedio mínimo de notas de pregrado de 3-7/5-0 y contar preferiblemente con mínimo 1 año de experiencia profesional en áreas relacionadas con el programa.,Brindar a colombianos la oportunidad de perfeccionar sus conocimientos de idioma checo y estudios eslavos.
2121615.0,OEA - FONDO VERDE PERÚ,CIENCIAS NATURALES Y ECOLOGIA,DIPLOMA EN EVALUACIÓN DE IMPACTO AMBIENTAL,Perú (República del Perú),,El programa está dirigido a profesionales universitarios en las áreas de Ciencias e Ingenierías (Ambiental- Agronómica- Biología- Química- Ingeniería) y otros profesionales del campo ambiental- ecológico y de la conservación. También pueden participar Técnicos Ambientales- Ingenieros- Arquitectos- Licenciados en Ciencias Sociales- Gerentes y profesionales responsables de la implementación de proyectos de inversión.   REQUISITOS: El candidato debe ser mayor de 23 años y menor de 50 años- tener un promedio mínimo de notas universitarias de 3-7/5-0 contar con mínimo 1 año de experiencia profesional en el área del curso y gozar de buena salud física y mental.,Los objetivos del programa son:> Difundir los conceptos generales sobre la Evaluación de Impacto Ambiental (EIA).> Mostrar las metodologías y las técnicas disponibles para realizar estudios de impacto ambiental.> Dar a conocer la importancia de la Evaluación de Impacto Ambiental > EIA- como instrumento para el desarrollo y herramienta de identificación- prevención- supervisión- control y corrección anticipada de los impactos ambientales negativos derivados de proyectos de mediana y gran escala.> Mostrar la forma de elaborar el sistema de seguimiento y control ambiental de los proyectos.> Reconocer y analizar distintos estudios de casos sobre la Evaluación del Impacto Ambiental.
2238016.0,OEA - INICTEL - UNI,ADMINISTRACIÓN,FUNDAMENTALS OF IT SERVICE MANAGEMENT WITH ISO 20000,PLATAFORMA DE EDUCACIÓN A DISTANCIA,09/16/2016 12:00:00 AM,El programa está dirigido a profesionales universitarios en administración o áreas afines que se desempeñen como gerentes de tecnologías de información- oficiales de seguridad de información- oficiales de riesgos- oficiales de cumplimiento y gobierno- auditores internos- de Operaciones y de TI- consultores en seguridad- auditoría- riesgos y gobierno. REQUISITOS: El candidato debe ser mayor de 22 años y menor de 65 años- tener un promedio mínimo de notas de pregrado de 3-7/5-0 y contar con mínimo 1 año de experiencia profesional en el tema del curso y tener buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- MET B2) u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2.,>Adquirir los conocimientos en el marco de la norma ISO 20000 para la gestión de servicios de TI. > Entender el marco de trabajo de ISO 20000- sus procesos y requisitos. > Obtener la visión de ejecución para la implantación exitosa de ISO 20000- cubriendo aspectos tangibles e intangibles. > Entender el funcionamiento de ISO 20000 y su posible contribución a la organización de TI. > Identificar posibles cuellos de botella en el control de procesos y proporcionar acciones de remedio positivas.
2251612.0,GOBIERNO DE LA INDIA,INGENIERIA Y AFINES,TRAINING PROGRAMME IN NETWORK SECURITY ASSESSMENT AND PRO-ACTIVE DEFENSE,India (República de India),,"El ""Programa de entrenamiento sobre evaluación de la seguridad en redes y defensa activa""- está dirigido a profesionales en ingeniería de sistemas- electrónica ó áreas relacionadas- que tengan conocimientos en seguridad en la información y laboren en entidades públicas ó privadas.   REQUISITOS: Los participantes deben ser menores de 50 años de edad- tener un promedio de notas universitarias de 3-7/5-0- contar con experiencia profesional mínima de 1 año (posterior a la obtención del titulo universitario)- poseer buenos conocimientos del idioma inglés con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)- gozar de buena salud física y mental y no haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente.   Los Preseleccionados deberán presentar entrevista en ICETEX y luego en la Embajada de la India- si así lo requiere.",> Evitar que los hackers y virus destruyan la información en las organizaciones.> Identificar las fallas del sistema de seguridad mediante la detección de distribución y reconfiguración dinámica de la red.
6900214.0,OEA,POSGRADO DIFERENTES AREAS,BECAS DE MAESTRÍA DOCTORADO Y/O INVESTIGACIÓN,Diferentes Países,,El programa está dirigido a profesionales universitarios graduados en las diferentes áreas del conocimiento exceptúando las áreas relacionadas con las Ciencias Médicas e Idiomas- que tengan un plan de estudios bien definido y un área específica de estudio focalizada dentro de los campos señalados como prioritarios (Ver Contenido del Programa en esta convocatoria). Los candidatos deben contar con promedios académicos mínimo de 3.7- experiencia profesional mínima de un año-  de acuerdo con los requerimientos de cada Universidad.,Contribuir al desarrollo económico- social- científico y cultural de los estados miembros de la OEA- de acuerdo con los propósitos específicos fijados.
2205012.0,GOBIERNO DE LA INDIA,INGENIERIA Y AFINES,3-D MODELING USING SOLID WORKS SOFTWARE,India (República de India),,"El programa ""Modelo 3-D usando software solid works"" está dirigido a profesionales menores de 50 años- con notas universitarias de 3-5/5-0  con experiencia mínima de un año (después de haber obtenido el título universitario)- relacionado con el área del curso- poseer buenos conocimientos básicos de computadores- en el diseño de herramientas.   REQUISITOS:  El aspirante debe poseer buenos conocimientos del idioma inglés con prueba escrita- con puntaje mínimo: (TOEFL: por Internet (IBT) 65 puntos- Prueba por computador: 183 puntos- IELTS: 5.5- English Test (MET): B2: 53 a 63 puntos)- u otra prueba de instituciones que estén avaladas oficialmente- que describa porcentual o numéricamente la habilidad en expresión oral- comprensión auditiva y capacidad de escritura- con nivel mínimo de B2. Las personas que hayan cursado estudios de bachillerato- pregrado o postgrado en países de habla inglesa podrán adjuntar copia de su diploma. No se recibirán constancias de cursos de inglés. Gozar de buena salud física y mental- no haber recibido capacitación a través del Programa ITEC del Gobierno de la India anteriormente. Los Preseleccionados deberán presentar entrevista en ICETEX y luego en la Embajada de la India- si la Embajada lo requiere pertinente.",Ofrecer a los participantes actualización en el campo de software.
5101816.0,OEA - UDELAR (URUGUAY),INGENIERIA Y AFINES,DIPLOMA DE ESPECIALIZACIÓN EN HIDROLOGÍA SUBTERRÁNEA,Uruguay (República Oriental del Uruguay),08/16/2016 12:00:00 AM,El programa está dirigido a profesionales universitarios en ingeniería civil- geología- química- agronomía o áreas afines que se desempeñen en temas relacionados con la hidrología subterránea en entidades públicas o privadas. NOTA: ES INDISPENSABLE TENER APROBADO EL CURSO HISPANOAMERICANO DE HIDROLOGÍA SUBTERRÁNEA (A PARTIR DE SU V EDICIÓN) PARA APLICAR A ESTE PROGRAMA. REQUISITOS: El candidato debe ser mayor de 24 años y menor de 65 años- tener un promedio mínimo de notas de pregrado de 3-7/5-0 y contar con mínimo 1 año de experiencia profesional en el tema del curso.,Acreditación académica de Formación Básica en Geohidrología.
